Date,Close,Open,High,Low,Change %
2017-03-20,13313.5,13331.5,13336.5,13306.5,-0.24
2017-03-21,13319.0,13301.0,13324.0,13296.0,0.04
2017-03-22,13329.0,13326.0,13339.0,13316.0,0.08
2017-03-23,13324.5,13325.5,13331.5,13320.5,-0.03
2017-03-24,13326.5,13320.5,13335.5,13320.5,0.02
2017-03-27,13310.5,13301.5,13319.5,13301.5,-0.12
2017-03-28,13310.5,13310.5,13310.5,13310.5,0.0
2017-03-29,13313.5,13311.5,13333.5,13306.5,0.02
2017-03-30,13316.0,13308.0,13328.0,13303.0,0.02
2017-03-31,13325.5,13317.5,13327.5,13312.5,0.07
2017-04-03,13322.5,13317.5,13327.5,13317.5,-0.02
2017-04-04,13328.0,13326.0,13330.0,13319.0,0.04
2017-04-05,13321.0,13326.0,13331.0,13316.0,-0.05
2017-04-06,13335.5,13317.5,13339.5,13317.5,0.11
2017-04-07,13317.5,13332.5,13347.5,13317.5,-0.13
2017-04-10,13286.5,13326.5,13329.5,13276.5,-0.23
2017-04-11,13281.5,13271.5,13291.5,13271.5,-0.04
2017-04-12,13275.0,13286.0,13301.0,13266.0,-0.05
2017-04-13,13256.5,13251.5,13267.5,13246.5,-0.14
2017-04-14,13256.5,13256.5,13256.5,13256.5,0.0
2017-04-17,13285.5,13252.5,13285.5,13252.5,0.22
2017-04-18,13296.5,13276.5,13301.5,13276.5,0.08
2017-04-19,13296.5,13296.5,13296.5,13296.5,0.0
2017-04-20,13323.5,13321.5,13336.5,13315.5,0.2
2017-04-21,13320.0,13321.0,13324.0,13312.0,-0.03
2017-04-24,13320.0,13320.0,13320.0,13320.0,0.0
2017-04-25,13277.5,13302.5,13305.5,13277.5,-0.32
2017-04-26,13285.0,13279.0,13287.0,13272.0,0.06
2017-04-27,13314.0,13286.0,13317.0,13286.0,0.22
2017-04-28,13329.0,13317.0,13340.0,13317.0,0.11
2017-05-01,13329.0,13329.0,13329.0,13329.0,0.0
2017-05-02,13311.5,13326.5,13326.5,13296.5,-0.13
2017-05-03,13305.5,13292.5,13312.5,13291.5,-0.05
2017-05-04,13327.5,13316.5,13333.5,13316.5,0.17
2017-05-05,13330.0,13333.0,13348.0,13328.0,0.02
2017-05-08,13309.5,13327.5,13332.5,13302.5,-0.15
2017-05-09,13350.0,13315.0,13353.0,13315.0,0.3
2017-05-10,13357.5,13341.5,13364.5,13341.5,0.06
2017-05-11,13357.5,13357.5,13357.5,13357.5,0.0
2017-05-12,13329.5,13337.5,13347.5,13319.5,-0.21
2017-05-15,13304.0,13316.0,13321.0,13298.0,-0.19
2017-05-16,13300.5,13294.5,13308.5,13294.5,-0.03
2017-05-17,13323.5,13286.5,13323.5,13281.5,0.17
2017-05-18,13355.5,13337.5,13357.5,13327.5,0.24
2017-05-19,13335.0,13395.0,13420.0,13315.0,-0.15
2017-05-22,13302.5,13292.5,13308.5,13282.5,-0.24
2017-05-23,13302.5,13288.5,13310.5,13287.5,0.0
2017-05-24,13308.5,13306.5,13321.5,13306.5,0.05
2017-05-25,13308.5,13308.5,13308.5,13308.5,0.0
2017-05-26,13294.5,13300.5,13300.5,13288.5,-0.11
2017-05-29,13321.5,13296.5,13322.5,13296.5,0.2
2017-05-30,13323.5,13320.5,13338.5,13319.5,0.02
